Loch;Messung1;Messnung2;Messung3;Mittelwert
1;1,866;1,866;;1,866
2;1,845;1,844;;1,8445
3;1,824;1,825;;1,8245
4;1,804;1,804;;1,804
5;1,786;1,786;;1,786
6;1,765;;;1,765
7;1,741;;;1,741
8;1,724;;;1,724
9;1,715;;;1,715
10;1,7;;;1,7
11;1,685;;;1,685
12;1,671;;;1,671
13;1,66;;;1,66
14;1,653;1,654;;1,6535
15;1,651;1,644;1,647;1,647333333
16;1,652;1,652;1,651;1,651666667
17;1,654;1,655;;1,6545
18;1,667;;;1,667
19;1,687;1,686;;1,6865
20;1,717;1,716;;1,7165
21;1,763;;;1,763
22;1,822;;;1,822
23;1,918;;;1,918
24;2,035;;;2,035
25;2,241;2,239;2,23;2,236666667
